djse085.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse086.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse087.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse088.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse089.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse090.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse091.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse092.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse093.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse094.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse095.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse096.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse097.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse098.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse099.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse101_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse101_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse103_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse103_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse105_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse105_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse107_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse107_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse109_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse109_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse111_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse111_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse113_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse113_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse115_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse115_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse117_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse117_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse119_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse119_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse121_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse121_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse123_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse123_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse125_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse125_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse127_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse127_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse129_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse129_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse131_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse131_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse133_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse133_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse135_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse135_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse137_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse137_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse139_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse139_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse141_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse141_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse143_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse143_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse145_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse145_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse147_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse147_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse149_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse149_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse151_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse151_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse166.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse167.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse169_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse169_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse171_last.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse171_top.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse172.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
